"Date","Win7","WinXP","Win10","Win8.1","Win8","WinVista","Win11","Win2003","Other"
2013-09,61.05,27.47,0,0.02,9.06,2.32,0,0.02,0.05
2013-10,60.71,27,0,0.17,9.8,2.25,0,0.02,0.05
2013-11,60.9,25.97,0,0.76,10.14,2.17,0,0.02,0.05
2013-12,60.59,25.93,0,1.26,10.16,1.99,0,0.03,0.05
2014-01,60.54,25.5,0,1.75,10.26,1.87,0,0.02,0.05
2014-02,60.99,24.45,0,2.25,10.46,1.78,0,0.02,0.05
2014-03,60.81,24.12,0,2.7,10.56,1.73,0,0.02,0.05
2014-04,61.21,23.23,0,3.2,10.58,1.72,0,0.02,0.04
2014-05,61.86,22.13,0,3.79,10.53,1.64,0,0.02,0.03
2014-06,62.47,21.13,0,4.39,10.34,1.62,0,0.02,0.03
2014-07,63.29,19.61,0,5.29,10.22,1.54,0,0.02,0.03
2014-08,62.93,19.68,0,5.92,9.95,1.48,0,0.01,0.03
2014-09,62.44,19.77,0,6.56,9.76,1.43,0,0.02,0.03
2014-10,62.19,19.5,0,7.36,9.54,1.36,0,0.02,0.03
2014-11,62.66,18.23,0,9.74,8.03,1.3,0,0.02,0.02
2014-12,62.74,17.26,0.01,12.04,6.64,1.27,0,0.02,0.02
2015-01,62.61,16.5,0.02,13.44,6.1,1.3,0,0.02,0.02
2015-02,62.72,15.69,0.06,14.48,5.76,1.25,0,0.02,0.02
2015-03,62.9,15.23,0.07,15.16,5.42,1.19,0,0.02,0.02
2015-04,63.29,14.71,0.07,15.55,5.26,1.09,0,0.02,0.02
2015-05,62.96,14.07,0.07,16.58,5.26,1.03,0,0.02,0.02
2015-06,63.07,13.36,0.11,17.31,5.13,0.99,0,0.02,0.02
2015-07,63.07,13.47,0.19,17.24,5.07,0.94,0,0.02,0.01
2015-08,62.15,13.17,3.36,15.48,4.88,0.92,0,0.02,0.01
2015-09,61.2,12.99,5.19,15.07,4.66,0.87,0,0.02,0.01
2015-10,60.31,12.96,6.36,14.9,4.58,0.86,0,0.02,0.01
2015-11,60.33,11.45,7.84,15.11,4.41,0.83,0,0.01,0.01
2015-12,59.46,11.11,9.59,14.69,4.3,0.83,0,0.02,0.02
2016-01,58.99,10.58,10.82,14.58,4.13,0.84,0,0.04,0.02
2016-02,58.25,11.41,11.58,14.14,3.85,0.75,0,0.02,0.01
2016-03,57.8,11.04,13.25,13.28,3.82,0.76,0,0.03,0.02
2016-04,55.39,13.01,14.87,12.38,3.62,0.69,0,0.03,0.02
2016-05,54.67,8.27,20.98,11.8,3.62,0.63,0,0.02,0.01
2016-06,54.7,7.68,21.7,11.54,3.74,0.62,0,0.02,0.01
2016-07,54.66,8.21,22.29,10.75,3.45,0.62,0,0.01,0.01
2016-08,54.87,7.24,23.21,10.72,3.34,0.6,0,0.01,0.01
2016-09,55.57,6.92,22.73,10.89,3.3,0.59,0,0.01,0.01
2016-10,55.83,6.6,22.71,10.99,3.27,0.58,0,0.01,0.01
2016-11,55.69,6.56,22.91,11.11,3.18,0.55,0,0.01,0.01
2016-12,55.08,6.17,23.91,11.21,3.1,0.51,0,0.01,0.01
2017-01,54.15,5.84,25.17,11.27,3.05,0.5,0,0.01,0.01
2017-02,54.14,5.61,25.39,11.33,3.03,0.48,0,0.01,0.01
2017-03,54.05,5.52,25.76,11.23,2.97,0.46,0,0.01,0.01
2017-04,53.9,5.54,25.99,11.17,2.93,0.44,0,0.01,0.01
2017-05,52.99,5.32,27.19,11.2,2.86,0.41,0,0.01,0.01
2017-06,52.09,4.84,28.55,11.26,2.84,0.4,0,0.01,0.01
2017-07,52.74,4.82,28.26,11,2.77,0.39,0,0.01,0.01
2017-08,52.53,4.04,29.35,10.99,2.72,0.36,0,0.01,0.01
2017-09,52.16,4.05,29.91,10.82,2.69,0.36,0,0.01,0.01
2017-10,50.66,4.28,31.49,10.61,2.59,0.36,0,0.01,0.01
2017-11,50.44,4.06,32.17,10.48,2.51,0.33,0,0.01,0.01
2017-12,50.67,3.88,32.28,10.23,2.53,0.39,0,0.01,0
2018-01,49.99,4.07,32.87,10.28,2.43,0.35,0,0.01,0.01
2018-02,51.04,4.14,32.41,9.85,2.22,0.32,0,0.01,0
2018-03,54.83,5.21,29.48,8.23,1.98,0.27,0,0.01,0
2018-04,45.86,3.15,38.82,9.41,2.39,0.35,0,0.01,0.01
2018-05,42.92,2.81,42.46,9.17,2.3,0.31,0,0.01,0.01
2018-06,44.32,3.65,39.33,8.92,3.12,0.64,0,0.01,0.01
2018-07,46.19,3.33,38.16,9.14,2.83,0.33,0,0.01,0.01
2018-08,47.92,4.66,35.54,9.16,2.32,0.37,0,0.02,0.02
2018-09,45.65,3.88,38.75,8.9,2.38,0.41,0,0.02,0.01
2018-10,45.34,3.73,39.36,8.84,2.29,0.42,0,0.01,0.01
2018-11,45.26,3.66,39.71,8.68,2.25,0.41,0,0.01,0.01
2018-12,44.41,3.27,41.17,8.65,2.16,0.32,0,0.02,0.01
2019-01,44.93,2.92,40.86,8.65,2.32,0.28,0,0.02,0.01
2019-02,42.63,2.84,43.61,8.1,2.52,0.28,0,0.02,0.01
2019-03,40.46,2.21,46.25,8.23,2.59,0.23,0,0.02,0.01
2019-04,41.69,2.3,44.89,8.13,2.7,0.27,0,0.02,0.01
2019-05,38.5,2.03,49.42,8.04,1.76,0.24,0,0.01,0.01
2019-06,41.09,2.3,45.91,8.2,2.24,0.25,0,0.01,0.01
2019-07,39.18,2.04,48.15,7.76,2.62,0.23,0,0.01,0.01
2019-08,41.3,1.73,46.83,7.93,1.97,0.23,0,0.01,0.01
2019-09,36.38,1.23,52.54,7.38,2.3,0.16,0,0.01,0.01
2019-10,34.42,1.17,55.05,7.3,1.86,0.18,0,0.01,0
2019-11,36.25,1.22,53.41,7.39,1.51,0.2,0,0.02,0
2019-12,35.56,1.41,54.09,7.23,1.49,0.2,0,0.02,0.01
2020-01,35.65,1.25,54,7.4,1.47,0.2,0,0.01,0.01
2020-02,32.78,1.02,57.6,6.94,1.45,0.18,0,0.02,0
2020-03,30.51,1.09,59.72,6.82,1.67,0.18,0,0.02,0.01
2020-04,28.49,0.86,61.87,7.03,1.5,0.19,0,0.05,0.01
2020-05,30.55,0.78,59.7,7.32,1.42,0.2,0,0.03,0
2020-06,31.7,0.77,58.96,6.94,1.4,0.2,0,0.02,0
2020-07,33.5,1.02,56.88,6.98,1.41,0.19,0,0.02,0
2020-08,34.53,1.13,55.88,6.85,1.39,0.2,0,0.02,0
2020-09,29.93,1.08,61.34,6.23,1.24,0.17,0,0.01,0.01
2020-10,29.05,1.12,62.34,6.04,1.25,0.16,0,0.01,0.01
2020-11,32.1,1.16,58.43,6.67,1.45,0.18,0,0.01,0.01
2020-12,32.17,0.9,58.83,6.55,1.35,0.19,0,0,0
2021-01,31.71,0.8,59.24,6.48,1.59,0.17,0,0,0
2021-02,30.12,0.54,61.48,6.22,1.47,0.17,0,0,0
2021-03,28.08,0.58,64.18,5.72,1.3,0.14,0,0,0.01
2021-04,28.77,0.73,63.22,5.71,1.39,0.18,0,0,0
2021-05,30.57,0.58,60.91,6.28,1.46,0.2,0,0,0
2021-06,32.51,0.39,58.91,6.39,1.56,0.22,0,0,0
2021-07,33.2,0.46,58.06,6.46,1.63,0.19,0,0,0
2021-08,32.39,0.24,58.51,6.4,2.27,0.18,0,0,0
2021-09,30.73,0.33,60.42,6.23,2,0.24,0,0.01,0.04
2021-10,29.18,0.33,62.42,5.78,2.04,0.24,0,0,0.01
2021-11,26.27,0.45,65.36,5.36,2.36,0.2,0,0,0
2021-12,26.52,0.51,65.62,5.64,1.53,0.17,0,0,0
2022-01,23.63,0.33,68.02,5.27,1.06,0.14,1.53,0,0
2022-02,25.97,0.41,62.86,5.24,1.12,0.16,4.23,0,0
2022-03,26.8,0.28,61.76,5.51,1.03,0.13,4.49,0,0
2022-04,24.51,0.29,63.06,5.6,1.23,0.14,5.17,0,0
2022-05,24.76,0.36,62.3,5.55,1.18,0.13,5.71,0,0
2022-06,25.16,0.35,61.37,5.61,1.19,0.13,6.19,0,0
2022-07,26.3,0.39,59.94,5.82,1.18,0.12,6.24,0,0
2022-08,24.28,0.38,61.52,5.44,1.11,0.12,7.15,0,0
2022-09,23.18,0.49,62.1,5.34,1.12,0.12,7.65,0,0
2022-10,22.19,0.57,62.61,5,0.9,0.12,8.61,0,0
2022-11,22.2,0.53,62.02,4.98,0.96,0.13,9.16,0,0.01
2022-12,21.81,0.56,61.97,4.82,0.89,0.14,9.8,0,0.01
2023-01,17.87,0.34,65.13,4.03,0.71,0.11,11.81,0,0
2023-02,6.11,0.22,77.74,1.49,0.36,0.08,13.99,0,0
2023-03,3.89,0.21,80.7,1.07,0.28,0.1,13.75,0,0
2023-04,4.46,0.17,81.01,1.07,0.25,0.1,12.94,0,0
2023-05,4.14,0.13,80.55,1.05,0.31,0.12,13.69,0,0
2023-06,3.3,0.15,80.65,1.12,0.25,0.14,14.38,0,0
2023-07,4.15,0.24,79.22,1.16,0.35,0.13,14.74,0.01,0
2023-08,4,0.19,79,1.17,0.31,0.08,15.23,0.01,0
2023-09,3.54,0.24,78.07,1.07,0.25,0.07,16.76,0,0
2023-10,3.5,0.25,76.2,1.03,0.27,0.05,18.69,0,0
2023-11,3.35,0.2,75.81,1.02,0.25,0.04,19.32,0,0
2023-12,3.01,1.24,75.66,0.91,0.2,0.06,18.92,0,0
2024-01,2.16,1.31,75.19,0.68,0.13,0.07,20.46,0,0
2024-02,2.34,0.8,75.5,0.67,0.15,0.06,20.47,0,0
2024-03,2.18,0.26,77.01,0.62,0.16,0.09,19.67,0,0
2024-04,2.4,0.36,77.99,0.62,0.13,0.1,18.38,0,0
2024-05,2.3,0.51,76.61,0.64,0.17,0.1,19.65,0,0
2024-06,2.21,0.42,74.43,0.55,0.22,0.12,22.05,0,0
2024-07,2.17,0.34,73.85,0.55,0.19,0.12,22.77,0,0
2024-08,2.26,0.11,73.89,0.68,0.14,0.1,22.8,0,0.03
2024-09,2.06,0.13,72.77,0.57,0.09,0.08,24.25,0,0.05
